name,stars,score,score_location,score_cleaning,score_service,score_value_money,ranking,price,price_range,opinions,opinions_excellent,opinions_good,opinions_normal,opinions_bad,opinions_awful,num_qa,nearby_restaurants,nearby_attractions,zone,latitude,longitude,has_swimming_pool,has_bar,has_restaurant,has_breakfast,has_gym,has_reception_24h,has_ac,has_strongbox,admits_pets,rooms,suites,sea_views_rooms,non_smoking_rooms,landmarks_views_rooms,city_views_rooms,family_rooms,style,tripadvisor_clasification,language_spanish,language_catalan,language_french,language_english,language_italian,language_bulgarian,language_russian,language_portuguese,prat_distance,timestamp
Travelodge Barcelona Fira,3.0,3.5,4.0,4.5,4.0,4.0,354.0,,52 € - 166 €,234.0,77.0,72.0,49.0,19.0,17.0,15.0,66.0,7.0,Barcelona,41.352612,2.133542,False,True,True,True,False,True,True,False,False,83.0,False,False,True,False,False,True,Familiar,51 de 100,True,True,True,True,True,True,False,False,7,2020-11-02 15:37:45.938143
Four Points by Sheraton Barcelona Diagonal,3.0,4.5,4.0,4.5,4.5,4.5,150.0,76.0,79 € - 195 €,1574.0,685.0,692.0,137.0,31.0,30.0,99.0,170.0,11.0,Poblenou / Sant Martí,41.405308,2.196291,False,True,True,True,True,True,True,True,False,154.0,False,False,True,False,False,False,Ecológico,94 de 100,True,True,True,True,True,False,False,True,15,2020-11-02 15:37:58.762559
Hotel Miramar Barcelona,5.0,4.0,4.5,4.5,4.0,4.0,198.0,184.0,152 € - 283 €,1298.0,708.0,339.0,107.0,66.0,78.0,28.0,55.0,20.0,Montjuic / Sants-Montjuïc,41.370338,2.17156,True,True,True,True,True,True,True,True,False,75.0,False,True,True,False,False,False,Vistas al parque,97 de 100,False,True,True,True,False,False,False,False,11,2020-11-02 15:38:01.677586
W Barcelona,5.0,4.5,4.5,4.5,4.5,4.0,243.0,323.0,287 € - 813 €,7751.0,4598.0,1789.0,671.0,329.0,364.0,182.0,18.0,2.0,Ciutat Vella / El Port Vell / Barceloneta,41.36861,2.190032,True,True,True,True,True,True,True,True,True,473.0,True,True,True,False,False,False,Vistas a la bahía,75 de 100,True,False,False,False,False,False,False,False,12,2020-11-02 15:38:06.467551
Wilson Boutique Hotel,3.0,4.5,4.0,4.5,4.5,4.5,134.0,143.0,72 € - 224 €,1404.0,693.0,566.0,103.0,31.0,11.0,71.0,468.0,48.0,Sant Gervasi-Galvany,41.394268,2.150045,False,True,True,True,True,True,True,True,False,53.0,True,False,True,False,False,False,Boutique,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:38:10.132305
Bird House,,4.0,4.5,4.0,4.0,4.5,80.0,,26 € - 112 €,288.0,113.0,111.0,29.0,11.0,24.0,10.0,388.0,50.0,El Ensanche (Eixample) / Sant Antoni,41.381451,2.159246,False,False,False,True,False,False,True,True,False,16.0,False,False,True,False,False,True,Económico,100 de 100,True,True,True,True,True,False,False,True,11,2020-11-02 15:38:13.365984
Apartments Sixtyfour,4.0,5.0,5.0,5.0,4.5,4.5,10.0,,124 € - 332 €,728.0,589.0,116.0,17.0,4.0,2.0,23.0,454.0,113.0,El Ensanche (Eixample) / Passeig de Gràcia / La Dreta de l'Eixample,41.392868,2.164553,False,False,False,False,False,False,True,False,False,19.0,True,False,True,False,False,True,Familiar,100 de 100,True,True,True,True,False,False,False,False,13,2020-11-02 15:38:16.850793
Hotel Praktik Vinoteca,3.0,4.5,4.5,4.5,4.5,4.5,92.0,98.0,56 € - 128 €,2252.0,1282.0,807.0,127.0,21.0,15.0,44.0,566.0,111.0,El Ensanche (Eixample) / L'Antiga Esquerra de l'Eixample,41.389297,2.162403,False,True,False,True,False,True,True,True,False,64.0,False,False,True,False,False,True,Moderno,100 de 100,True,True,True,True,False,False,False,False,12,2020-11-02 15:38:20.045101
Barcelona Hotel Colonial,4.0,4.0,4.5,4.5,4.0,4.0,313.0,126.0,66 € - 231 €,1025.0,284.0,434.0,200.0,56.0,51.0,34.0,668.0,275.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.382381,2.180725,False,True,False,True,False,True,True,True,False,81.0,False,False,True,False,False,False,Clásico,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:38:25.255728
H10 Madison,4.5,5.0,5.0,5.0,5.0,4.5,6.0,160.0,126 € - 270 €,752.0,661.0,71.0,13.0,4.0,3.0,94.0,594.0,296.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.386108,2.17546,True,True,True,True,False,True,True,True,False,101.0,True,False,True,False,False,False,,100 de 100,True,True,True,True,False,False,False,False,13,2020-11-02 15:38:28.803589
Aparthotel Silver,3.0,4.5,4.5,4.5,4.5,4.5,96.0,58.0,64 € - 116 €,1171.0,607.0,459.0,77.0,21.0,7.0,42.0,302.0,44.0,Vila de Gràcia / Gracia,41.402088,2.151142,False,True,False,True,False,True,True,True,False,49.0,True,False,True,False,False,False,Ecológico,100 de 100,True,True,True,True,True,False,False,False,13,2020-11-02 15:38:32.267096
Hotel SB Diagonal Zero,4.0,4.0,3.5,4.5,4.0,4.0,349.0,66.0,74 € - 238 €,2981.0,1025.0,1133.0,485.0,180.0,158.0,71.0,82.0,14.0,Sant Martí / Fòrum / El Besòs i el Maresme,41.41177,2.219365,True,True,True,True,True,True,True,True,True,262.0,True,True,True,False,False,True,Vistas al mar,98 de 100,False,True,False,True,False,False,False,False,17,2020-11-02 15:38:35.936625
Sercotel Amister Art Hotel,4.0,4.0,4.0,4.5,4.5,4.0,219.0,61.0,72 € - 146 €,1154.0,494.0,495.0,107.0,35.0,23.0,45.0,268.0,33.0,El Ensanche (Eixample) / La Nova Esquerra de l'Eixample,41.384346,2.151522,True,True,False,True,False,True,True,True,False,59.0,False,False,True,False,False,True,Con encanto,100 de 100,False,True,True,True,False,False,False,False,11,2020-11-02 15:38:38.557059
Internacional Ramblas Atiram Hotel,3.0,3.5,5.0,4.0,4.0,3.5,384.0,107.0,58 € - 130 €,785.0,179.0,311.0,136.0,73.0,86.0,37.0,754.0,310.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / La Rambla / El Congrés i els Indians,41.381153,2.173451,False,False,False,True,False,True,True,True,False,52.0,False,False,True,False,False,False,De gama media,100 de 100,True,False,True,True,True,False,False,True,12,2020-11-02 15:38:41.951941
Duquesa Suites Barcelona,4.0,5.0,5.0,5.0,5.0,4.5,12.0,,142 € - 287 €,889.0,713.0,152.0,20.0,2.0,2.0,28.0,576.0,220.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.381184,2.181531,True,True,False,True,False,False,True,True,False,28.0,True,True,True,False,False,False,Vistas al puerto deportivo,100 de 100,True,True,True,True,False,False,False,False,12,2020-11-02 15:38:45.136919
NH Barcelona Les Corts,3.0,4.0,4.0,4.0,4.0,3.5,316.0,111.0,68 € - 137 €,865.0,207.0,369.0,213.0,52.0,24.0,9.0,197.0,19.0,Les Corts de Sarrià / Les Corts,41.387367,2.136427,False,True,False,True,False,True,True,True,False,81.0,True,False,True,False,False,True,,96 de 100,True,True,True,True,False,False,False,False,11,2020-11-02 15:38:48.010697
Occidental Atenea Mar - Adults only,4.0,4.0,4.0,4.5,4.0,4.0,190.0,110.0,92 € - 179 €,2312.0,946.0,857.0,309.0,121.0,79.0,47.0,53.0,8.0,Diagonal Mar i el Front Marítim del Poblenou / Sant Martí,41.402493,2.212221,True,True,True,True,True,True,True,True,False,191.0,True,True,True,False,False,False,Vistas al mar,87 de 100,False,False,False,True,False,False,False,False,16,2020-11-02 15:38:56.208506
H10 Casa Mimosa,4.5,5.0,5.0,5.0,5.0,4.5,4.0,201.0,140 € - 282 €,787.0,714.0,58.0,8.0,4.0,3.0,60.0,384.0,91.0,El Ensanche (Eixample) / Passeig de Gràcia / La Dreta de l'Eixample,41.396259,2.162194,True,True,True,True,True,True,True,True,False,48.0,True,False,True,False,False,False,Relación calidad/precio,100 de 100,True,True,True,True,False,False,False,False,13,2020-11-02 15:39:21.691561
Casa Gracia,2.0,4.0,4.5,4.5,4.5,4.5,62.0,80.0,48 € - 127 €,1643.0,849.0,474.0,163.0,83.0,74.0,41.0,435.0,91.0,Vila de Gràcia / Gracia,41.397175,2.159252,False,True,False,True,False,True,True,False,False,146.0,True,False,True,False,False,True,Céntrico,100 de 100,True,False,True,True,False,False,False,False,13,2020-11-02 15:39:26.156714
Hotel Duquesa de Cardona,4.0,4.5,5.0,4.5,4.5,4.5,9.0,103.0,142 € - 292 €,2701.0,1939.0,634.0,82.0,27.0,20.0,54.0,516.0,220.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.379948,2.180626,True,True,True,True,False,True,True,True,False,64.0,True,True,True,False,False,False,Vistas al puerto,100 de 100,True,True,True,True,False,False,False,False,12,2020-11-02 15:39:29.737140
Novotel Barcelona City,4.0,4.0,4.0,4.5,4.0,4.0,220.0,129.0,86 € - 171 €,4621.0,1776.0,2106.0,506.0,145.0,89.0,155.0,120.0,11.0,El Parc i la Llacuna del Poblenou / Sant Martí / Les Glòries,41.403809,2.191149,True,True,True,True,True,True,True,True,False,264.0,True,False,True,False,False,True,Ecológico,100 de 100,True,True,True,True,False,False,False,False,15,2020-11-02 15:39:33.611612
Axel Hotel Barcelona & Urban Spa,4.0,4.0,4.5,4.5,4.0,4.0,111.0,132.0,69 € - 145 €,3281.0,1620.0,890.0,410.0,221.0,140.0,54.0,544.0,92.0,El Ensanche (Eixample) / L'Antiga Esquerra de l'Eixample,41.387348,2.160496,True,True,True,True,True,True,True,True,False,101.0,True,False,True,False,False,False,Moderno,100 de 100,True,True,True,True,True,False,False,True,12,2020-11-02 15:39:36.960920
Hotel Cuatro Naciones,2.0,4.0,5.0,4.5,4.5,4.5,194.0,,76 € - 116 €,1243.0,394.0,620.0,173.0,37.0,19.0,46.0,645.0,258.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / La Rambla / El Congrés i els Indians,41.379215,2.175144,False,False,False,True,False,True,True,True,False,34.0,False,False,True,False,False,True,Clásico,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:39:40.278152
Travelodge Barcelona Poblenou,1.0,3.5,4.0,4.5,4.0,4.0,299.0,48.0,46 € - 181 €,2080.0,536.0,838.0,427.0,163.0,116.0,125.0,223.0,21.0,Poblenou / Sant Martí,41.399891,2.200992,False,True,True,True,False,True,True,False,False,250.0,False,False,True,False,False,True,Tranquilo,94 de 100,True,True,True,True,True,False,False,False,15,2020-11-02 15:40:00.794077
Salles Hotel Pere IV,4.0,4.0,4.0,4.5,4.0,4.0,173.0,84.0,77 € - 173 €,375.0,190.0,115.0,39.0,18.0,13.0,92.0,65.0,14.0,El Parc i la Llacuna del Poblenou / Sant Martí / Ciutadella / Vila Olimpica,41.396931,2.192261,True,True,True,True,True,True,True,True,False,195.0,True,False,True,False,False,True,De gama media,100 de 100,True,True,False,True,False,False,False,False,14,2020-11-02 15:40:19.235685
NH Sants Barcelona,4.0,4.0,4.0,4.5,4.0,4.0,200.0,,78 € - 178 €,1780.0,603.0,715.0,316.0,93.0,53.0,14.0,166.0,8.0,Les Corts de Sarrià / Les Corts,41.384602,2.137907,False,True,True,True,False,True,False,True,False,203.0,True,False,True,False,False,False,Negocios,100 de 100,True,True,False,True,False,False,False,False,11,2020-11-02 15:40:22.346158
Ibis Styles Barcelona City Bogatell,2.0,4.5,4.0,4.5,4.5,4.0,131.0,,96 € - 141 €,913.0,422.0,371.0,89.0,18.0,13.0,74.0,79.0,11.0,El Parc i la Llacuna del Poblenou / Sant Martí / Ciutadella / Vila Olimpica,41.394852,2.19344,True,True,False,True,False,True,True,False,False,213.0,False,False,True,False,False,False,Familiar,100 de 100,True,True,True,True,True,False,False,False,14,2020-11-02 15:40:25.599207
Barcelo Raval,4.0,4.5,4.0,4.5,4.5,4.0,133.0,118.0,114 € - 192 €,4783.0,2323.0,1761.0,488.0,133.0,78.0,136.0,540.0,141.0,Ciutat Vella / El Raval,41.379021,2.169597,True,True,True,True,True,True,True,True,False,186.0,True,False,True,False,False,False,Vistas fantásticas,100 de 100,False,False,False,True,False,False,False,False,12,2020-11-02 15:40:28.978603
Gran Hotel La Florida,5.0,4.0,4.0,4.5,4.0,4.0,212.0,159.0,135 € - 295 €,1482.0,793.0,362.0,132.0,97.0,98.0,37.0,6013.0,1080.0,Barcelona,41.425453,2.120809,True,True,True,True,True,True,True,True,False,70.0,True,True,True,False,False,False,Vistas a las montañas,61 de 100,False,True,True,False,False,False,False,False,15,2020-11-02 15:40:32.602173
Aparthotel Atenea,4.0,4.0,4.0,4.0,4.0,4.0,262.0,67.0,66 € - 115 €,769.0,213.0,379.0,126.0,27.0,24.0,47.0,155.0,17.0,Les Corts de Sarrià / Les Corts,41.386429,2.129167,False,True,True,True,False,True,True,True,False,105.0,True,False,True,False,False,False,Tranquilo,100 de 100,False,False,False,True,False,False,False,False,11,2020-11-02 15:40:36.498612
Hotel Jazz,3.0,4.5,5.0,4.5,4.5,4.5,29.0,134.0,76 € - 187 €,5314.0,3405.0,1659.0,192.0,36.0,23.0,100.0,526.0,130.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.386112,2.165785,True,True,False,True,False,True,True,True,False,108.0,True,False,True,False,True,False,Relación calidad/precio,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:41:26.120995
Hotel Praktik Èssens,,5.0,5.0,5.0,5.0,5.0,18.0,120.0,75 € - 158 €,164.0,147.0,13.0,1.0,1.0,2.0,1.0,465.0,107.0,El Ensanche (Eixample) / Passeig de Gràcia / La Dreta de l'Eixample,41.390148,2.16788,False,True,False,True,False,True,True,True,False,37.0,True,False,True,False,True,True,,100 de 100,True,True,False,True,False,False,False,False,12,2020-11-02 15:41:29.546120
Hostal Martinval,2.0,4.0,4.5,4.5,4.5,4.5,50.0,61.0,55 € - 817 €,797.0,346.0,329.0,91.0,19.0,12.0,42.0,396.0,76.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.3964,2.166616,False,False,False,False,False,True,True,False,False,10.0,False,False,True,False,False,False,Barrio residencial,100 de 100,True,False,False,True,False,False,False,False,13,2020-11-02 15:41:32.930664
Mercure Barcelona Condor,4.0,4.0,4.0,4.0,4.0,4.0,296.0,92.0,69 € - 130 €,488.0,152.0,189.0,103.0,32.0,13.0,12.0,213.0,20.0,Sant Gervasi-Galvany,41.399868,2.144936,False,False,False,True,False,True,True,True,False,78.0,False,False,True,False,True,True,Barrio residencial,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:41:41.919666
Hotel Acta Antibes,2.0,4.0,4.5,4.5,4.5,4.5,157.0,93.0,58 € - 124 €,2137.0,786.0,1136.0,185.0,24.0,7.0,44.0,218.0,31.0,El Ensanche (Eixample) / El Fort Pienc,41.398434,2.177935,False,False,False,True,False,True,True,True,False,71.0,False,False,True,False,False,True,Barrio residencial,100 de 100,True,True,True,True,True,False,True,True,14,2020-11-02 15:41:47.648634
H10 Cubik,4.5,4.5,5.0,5.0,4.5,4.5,25.0,,120 € - 283 €,1302.0,1029.0,207.0,44.0,8.0,14.0,55.0,461.0,173.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.388023,2.173152,True,True,True,True,False,True,True,True,False,101.0,True,False,True,False,False,False,Moderno,100 de 100,False,True,True,True,False,False,False,False,13,2020-11-02 15:41:51.074077
Hotel Ciutat de Sant Adria,2.0,3.5,3.5,4.0,4.0,4.0,387.0,,36 € - 59 €,242.0,64.0,74.0,60.0,31.0,13.0,28.0,39.0,6.0,Barcelona,41.429977,2.220304,False,True,True,True,False,True,True,True,False,24.0,False,False,True,False,False,False,Barrio residencial,63 de 100,True,True,False,True,False,False,False,False,19,2020-11-02 15:41:53.835683
Hotel Acta Azul Barcelona,3.0,4.0,4.5,4.0,4.0,4.0,314.0,79.0,59 € - 150 €,533.0,147.0,254.0,89.0,24.0,19.0,14.0,162.0,32.0,Sants-Montjuïc / Hostafrancs,41.373077,2.145975,False,False,False,True,False,True,True,True,False,31.0,True,False,True,False,False,True,Familiar,100 de 100,True,False,True,True,True,False,False,False,10,2020-11-02 15:41:57.708131
Yurbban Passage Hotel & Spa,4.0,5.0,5.0,5.0,5.0,4.5,10.0,197.0,118 € - 232 €,611.0,536.0,57.0,13.0,3.0,2.0,31.0,453.0,156.0,"Ciutat Vella / Sant Pere / Sant Pere, Santa Caterina i la Ribera / El Born / La Ribera",41.388741,2.17599,True,True,True,True,True,False,True,True,False,60.0,True,False,True,False,False,True,Romántico,100 de 100,False,True,False,False,False,False,False,False,13,2020-11-02 15:42:05.482591
Hotel Arts Barcelona,5.0,4.5,4.5,4.5,4.5,4.0,130.0,269.0,302 € - 637 €,5591.0,3633.0,1202.0,440.0,172.0,144.0,88.0,110.0,30.0,Ciutat Vella / Port Olímpic / Barceloneta / Ciutadella / Vila Olimpica,41.386749,2.196823,True,True,True,True,True,True,True,True,False,483.0,True,True,True,False,True,True,Vistas fantásticas,100 de 100,True,True,True,True,True,False,False,True,14,2020-11-02 15:42:10.315148
Hostalin Barcelona,2.0,4.0,4.0,4.5,4.0,4.5,127.0,,33 € - 96 €,100.0,34.0,37.0,20.0,4.0,5.0,6.0,269.0,32.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.396542,2.175483,False,False,False,False,False,True,True,True,False,7.0,False,False,True,False,False,False,De gama media,100 de 100,True,False,False,True,False,False,False,False,13,2020-11-02 15:42:13.885801
SmartRoom Barcelona,2.0,4.5,4.0,4.5,4.5,4.5,149.0,76.0,55 € - 112 €,507.0,247.0,195.0,47.0,11.0,7.0,54.0,77.0,16.0,Sants-Montjuïc / Sants,41.371799,2.136636,False,False,False,True,False,True,True,True,False,55.0,False,False,True,False,False,True,Barrio residencial,100 de 100,True,True,True,True,True,False,False,False,9,2020-11-02 15:42:23.516623
Hotel Praktik Bakery,3.0,4.5,4.5,4.5,4.5,4.5,94.0,108.0,57 € - 135 €,2764.0,1606.0,877.0,200.0,51.0,30.0,55.0,380.0,95.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.396275,2.163167,False,False,False,True,False,True,True,True,False,74.0,False,False,True,False,True,False,Con encanto,100 de 100,True,True,False,True,False,False,False,False,13,2020-11-02 15:42:27.321114
Tryp Barcelona Apolo Hotel,4.0,4.0,4.5,4.0,4.0,4.0,238.0,95.0,86 € - 209 €,4226.0,1222.0,1747.0,808.0,265.0,184.0,131.0,288.0,69.0,Sants-Montjuïc / El Poble-sec,41.374767,2.170388,False,True,False,True,False,True,False,True,False,314.0,True,False,True,False,False,False,Ecológico,100 de 100,True,True,True,True,True,False,False,False,11,2020-11-02 15:42:31.261075
H10 Marina Barcelona Hotel,4.0,4.0,4.0,4.5,4.0,4.0,236.0,429.0,73 € - 215 €,3077.0,1250.0,1250.0,357.0,130.0,90.0,137.0,97.0,9.0,La Vila Olímpica del Poblenou / Sant Martí / Ciutadella / Vila Olimpica,41.392918,2.192717,True,True,True,True,True,True,True,True,False,235.0,True,False,True,False,False,False,Ecológico,100 de 100,True,True,True,True,True,False,False,False,14,2020-11-02 15:42:35.071194
AC Hotel Victoria Suites,4.0,4.0,4.0,4.5,4.5,4.0,151.0,161.0,122 € - 235 €,423.0,197.0,159.0,45.0,16.0,6.0,33.0,40.0,13.0,Pedralbes,41.389423,2.12147,False,True,True,True,True,True,True,True,False,53.0,True,False,True,False,False,False,Barrio residencial,94 de 100,True,False,False,True,False,False,False,False,11,2020-11-02 15:42:39.558085
Leonardo Hotel Barcelona Las Ramblas,3.0,4.0,4.5,4.5,4.0,4.0,225.0,,66 € - 159 €,765.0,296.0,332.0,81.0,22.0,34.0,44.0,649.0,226.0,Ciutat Vella / El Raval,41.380066,2.171172,True,True,False,True,False,True,True,True,False,110.0,True,False,True,False,False,False,De gama media,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:42:43.083400
Hotel Arc La Rambla,3.0,4.5,5.0,4.5,4.5,4.0,118.0,92.0,60 € - 147 €,3382.0,1497.0,1431.0,321.0,84.0,50.0,128.0,530.0,195.0,Ciutat Vella / La Rambla / El Raval,41.378201,2.1756,False,False,False,True,False,True,True,True,False,98.0,True,False,True,False,True,True,Vistas a la ciudad,100 de 100,True,True,True,True,True,False,True,True,12,2020-11-02 15:42:46.645527
Sunotel Junior,2.0,3.5,3.5,4.0,4.0,3.5,377.0,77.0,50 € - 107 €,381.0,53.0,155.0,113.0,40.0,20.0,37.0,344.0,24.0,El Ensanche (Eixample) / L'Antiga Esquerra de l'Eixample,41.390095,2.147397,True,True,True,True,False,True,True,True,False,34.0,False,False,True,False,False,False,,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:42:50.057692
Hotel SB Icaria Barcelona,4.0,4.0,4.0,4.5,4.0,4.0,301.0,95.0,68 € - 220 €,1975.0,554.0,913.0,330.0,111.0,68.0,54.0,70.0,11.0,La Vila Olímpica del Poblenou / Sant Martí / Ciutadella / Vila Olimpica,41.393681,2.199376,True,True,True,True,True,True,True,True,True,180.0,True,False,True,False,True,True,De gama media,97 de 100,False,True,False,True,False,False,False,False,14,2020-11-02 15:42:53.522094
May Ramblas Hotel,3.0,3.5,5.0,4.5,4.5,3.5,382.0,,58 € - 182 €,167.0,50.0,61.0,29.0,12.0,15.0,11.0,771.0,327.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / La Rambla / El Congrés i els Indians,41.381687,2.173425,False,False,False,False,False,True,True,True,False,42.0,False,False,True,False,False,False,Céntrico,100 de 100,True,False,False,True,True,False,False,True,12,2020-11-02 15:42:59.712647
Aparthotel Senator,3.0,3.5,4.0,3.5,3.5,3.5,431.0,71.0,66 € - 189 €,136.0,27.0,47.0,32.0,11.0,19.0,1.0,190.0,22.0,Sant Gervasi-Galvany,41.398464,2.14264,False,False,False,True,False,False,True,False,False,20.0,False,False,True,False,False,True,,97 de 100,True,False,False,True,False,False,False,False,12,2020-11-02 15:43:03.421349
Hostal Fernando,2.0,4.0,5.0,4.0,4.0,4.0,48.0,,60 € - 113 €,833.0,250.0,419.0,114.0,30.0,20.0,25.0,774.0,331.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.381474,2.175402,False,False,True,True,False,True,True,True,False,38.0,False,False,True,False,False,True,Céntrico,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:43:06.884448
Hotel Catalonia Park Güell,3.0,3.5,3.5,4.0,4.0,3.5,355.0,84.0,44 € - 114 €,1271.0,238.0,472.0,315.0,141.0,105.0,32.0,18.0,13.0,El Coll / Gracia,41.414253,2.144828,True,True,True,True,False,True,True,True,False,139.0,False,False,True,False,False,False,Barrio residencial,87 de 100,True,True,True,True,False,False,False,False,14,2020-11-02 15:43:10.572324
Aparthotel Mariano Cubi,4.0,4.0,4.0,4.5,4.0,4.0,251.0,48.0,73 € - 165 €,660.0,231.0,272.0,83.0,40.0,34.0,19.0,333.0,35.0,Sant Gervasi-Galvany,41.398193,2.149508,False,False,False,True,False,True,True,True,False,69.0,False,False,True,False,False,False,Barrio residencial,100 de 100,True,False,True,True,True,False,True,False,12,2020-11-02 15:43:15.658407
Barcelo Sants,4.0,4.5,4.5,4.5,4.0,4.0,123.0,132.0,95 € - 223 €,4770.0,2315.0,1787.0,431.0,145.0,93.0,83.0,210.0,25.0,Sants-Montjuïc / Sants,41.378792,2.139654,False,True,True,True,True,True,True,True,False,378.0,True,False,True,False,False,True,Negocios,100 de 100,False,False,False,True,False,False,False,False,10,2020-11-02 15:43:19.435465
El Avenida Palace,4.0,4.0,5.0,4.5,4.0,4.0,143.0,,83 € - 214 €,2954.0,1353.0,994.0,377.0,134.0,96.0,98.0,478.0,117.0,El Ensanche (Eixample) / Passeig de Gràcia / Rambla de Catalunya / La Dreta de l'Eixample,41.389065,2.167363,True,True,True,True,False,True,True,True,False,153.0,True,False,True,False,False,True,Clásico,100 de 100,False,True,False,True,False,False,False,False,12,2020-11-02 15:43:23.240002
Alimara Barcelona Hotel,4.0,4.0,3.5,4.5,4.0,4.0,315.0,,52 € - 131 €,1027.0,257.0,499.0,174.0,52.0,45.0,21.0,15.0,8.0,La Vall d'Hebron / Horta-Guinardó,41.434025,2.147445,False,True,True,True,True,True,True,True,False,156.0,True,False,True,False,False,True,Barrio residencial,79 de 100,True,False,False,True,False,False,False,False,16,2020-11-02 15:43:26.920636
Hotel Barcelona 1882,4.0,5.0,4.5,5.0,4.5,5.0,23.0,128.0,111 € - 218 €,372.0,308.0,54.0,6.0,2.0,2.0,33.0,265.0,33.0,El Camp d'en Grassot i Gràcia Nova / Gracia,41.404224,2.169722,True,True,False,True,True,True,True,True,False,182.0,False,False,True,False,False,True,,100 de 100,True,True,True,True,True,False,False,True,14,2020-11-02 15:43:30.462075
Moderno Hotel Bcn,3.0,3.5,5.0,4.0,4.0,4.0,379.0,,88 € - 364 €,995.0,207.0,414.0,218.0,86.0,70.0,25.0,747.0,290.0,Ciutat Vella / La Rambla / El Raval,41.381157,2.172872,False,False,False,True,False,True,True,True,False,57.0,False,False,True,False,False,False,Céntrico,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:43:33.634048
NH Collection Barcelona Gran Hotel Calderón,4.0,4.5,5.0,4.5,4.5,4.0,90.0,110.0,148 € - 239 €,1199.0,781.0,279.0,80.0,32.0,28.0,9.0,501.0,120.0,El Ensanche (Eixample) / Passeig de Gràcia / Rambla de Catalunya / La Dreta de l'Eixample,41.389397,2.166138,True,True,True,True,True,True,True,True,False,255.0,True,False,True,False,False,True,Moderno,100 de 100,True,True,True,True,False,False,False,False,12,2020-11-02 15:43:37.339527
Guesthouse Barcelona Gotic,,4.5,5.0,4.5,4.5,4.5,41.0,,37 € - 91 €,626.0,287.0,249.0,63.0,17.0,10.0,26.0,652.0,302.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.380524,2.178309,False,False,False,True,False,True,False,True,False,28.0,False,False,True,False,False,False,Económico,100 de 100,True,False,True,True,False,False,False,False,12,2020-11-02 15:43:41.104985
,3.0,3.5,4.5,4.0,4.0,4.0,,62.0,40 € - 129 €,1711.0,391.0,752.0,360.0,129.0,79.0,91.0,648.0,272.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.379444,2.17589,False,False,False,True,False,True,True,True,False,57.0,False,False,True,False,False,False,Céntrico,100 de 100,True,True,True,True,False,False,False,False,12,2020-11-02 15:44:17.040373
Hotel Amrey Sant Pau,2.0,4.0,4.0,4.0,4.0,4.0,297.0,,48 € - 144 €,883.0,250.0,396.0,174.0,33.0,30.0,36.0,112.0,15.0,Horta-Guinardó / El Guinardó,41.413963,2.177573,False,True,True,True,False,True,True,False,False,93.0,False,False,True,False,False,False,Familiar,100 de 100,True,True,True,True,True,False,False,False,15,2020-11-02 15:44:20.307092
Santa Marta Hotel,2.0,4.0,4.5,4.5,4.0,4.5,163.0,87.0,49 € - 140 €,574.0,230.0,255.0,58.0,14.0,17.0,43.0,409.0,128.0,"Ciutat Vella / Sant Pere / Sant Pere, Santa Caterina i la Ribera",41.383537,2.185224,False,False,False,True,False,True,True,True,False,66.0,False,False,True,False,False,True,Familiar,100 de 100,True,True,True,True,True,False,False,False,13,2020-11-02 15:44:23.430612
AC Hotel Diagonal L´Illa,4.0,4.5,4.5,4.5,4.5,4.0,128.0,133.0,123 € - 230 €,291.0,159.0,101.0,16.0,8.0,7.0,29.0,193.0,17.0,Les Corts de Sarrià / Les Corts,41.390152,2.135401,False,True,True,True,True,True,True,True,False,103.0,True,False,True,False,False,True,Moderno,96 de 100,True,True,True,True,True,False,False,False,11,2020-11-02 15:44:34.824491
