name,stars,score,score_location,score_cleaning,score_service,score_value_money,ranking,price,price_range,opinions,opinions_excellent,opinions_good,opinions_normal,opinions_bad,opinions_awful,num_qa,nearby_restaurants,nearby_attractions,zone,latitude,longitude,has_swimming_pool,has_bar,has_restaurant,has_breakfast,has_gym,has_reception_24h,has_ac,has_strongbox,admits_pets,rooms,suites,sea_views_rooms,non_smoking_rooms,landmarks_views_rooms,city_views_rooms,family_rooms,style,tripadvisor_clasification,language_spanish,language_catalan,language_french,language_english,language_italian,language_bulgarian,language_russian,language_portuguese,prat_distance,timestamp
Can Gramunt,4.0,,,,,,,,103 € - 232 €,,,,,,,,,,Barcelona,41.535801,1.66262,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,44,2020-11-02 18:14:10.693045
Park Guell Apartments,3.0,,,,,,,,106 € - 208 €,,,,,,,,61.0,31.0,El Coll / Gracia,41.418831,2.15027,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,84 de 100,False,False,False,False,False,False,False,False,15,2020-11-02 18:14:17.837601
Barcelona Youjia Hostel,4.0,,,,,,,,,,,,,,,,265.0,29.0,Sants-Montjuïc / El Poble-sec,41.37431,2.15719,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,11,2020-11-02 18:14:22.032130
Ramblas Charm,2.5,,,,,,,,,,,,,,,,722.0,282.0,Ciutat Vella / La Rambla / El Raval,41.381279,2.17225,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:14:26.052538
Apartamentos El Pintor,4.0,,,,,,,,192 € - 269 €,,,,,,,,447.0,153.0,"Ciutat Vella / Sant Pere / Sant Pere, Santa Caterina i la Ribera",41.383579,2.18467,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,13,2020-11-02 18:14:29.903421
El Faro B&B,5.0,,,,,,,,,,,,,,,,,,Barcelona,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,,2020-11-02 18:16:32.541355
Habitat Apartments Paseo de Gracia,,,,,,,,,,,,,,,,,432.0,107.0,El Ensanche (Eixample) / Passeig de Gràcia / La Dreta de l'Eixample,41.391979,2.16563,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,13,2020-11-02 18:16:36.627506
Sunny Room Barceloneta,4.0,,,,,,,,,,,,,,,,187.0,14.0,Ciutat Vella / Barceloneta,41.376499,2.18983,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,13,2020-11-02 18:16:40.595490
No 49 - The Streets Apartments,3.5,,,,,,,,,,,,,,,,699.0,275.0,Ciutat Vella / La Rambla / El Raval,41.379971,2.17405,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:16:44.175511
Diagonal Apartments 2,5.0,,,,,,,,,,,,,,,,,,Barcelona,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,,2020-11-02 18:18:47.034082
Whotells Eixample,3.0,,,,,,,,,,,,,,,,405.0,66.0,Ciutat Vella / El Raval,41.379318,2.16336,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,11,2020-11-02 18:18:50.531588
Casa Felipa Plaza Espana,5.0,,,,,,,,,,,,,,,,,,Barcelona,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,,2020-11-02 18:20:52.921107
O&A Apartments Barcelona: Florida,3.5,,,,,,,,217 € - 296 €,,,,,,,,386.0,50.0,El Ensanche (Eixample) / Sant Antoni,41.378971,2.15931,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,11,2020-11-02 18:20:56.601399
